species,body mass (grams)
Ichthyolestes_pinfoldi,8091
Nalacetus_ratimitus,10861.8
Balaena_mysticetus,79906408.96
Platanista_minor,18294.49
Remingtonocetus_harudiensis,387000
Indocetus_ramani,630000
Caperea_marginata,3497039.84
Aetiocetus_cotylalveus,133833.03
Aetiocetus_weltoni,1845074.62
Eurhinodelphis_longirostris,94819
Pomatodelphis_inaequalis,175573.1
Fucaia_buelli,78081.8
Eurhinodelphis_bossi,114766.8
Kentriodon_schneideri,41653.3
Allodelphis_pratti,170823.4
Albertocetus_meffordorum,51131.4
Aprixokogia_kelloggi,506744.6
Eurhinodelphis_cristatus,116723.42
Semirostrum_ceruttii,103229.49
Dilophodelphis_fordycei,57771.5
Balaenoptera_bonaerensis,5994590.42
Tursiops_aduncus,131525.3
Phocoena_sinus,42483.48
Mesoplodon_hectori,999284.03
Lissodelphis_peronii,115942.84
Delphinus_capensis,128019.61
Mesoplodon_bowdoini,2597881.09
Orcaella_brevirostris,189896.66
Mesoplodon_perrini,877146.36
Mesoplodon_carlhubbsi,3397134.63
Mesoplodon_bidens,3397134.63
Mesoplodon_ginkgodens,1498863.03
Cephalorhynchus_eutropia,44982.24
Mesoplodon_peruvianus,614961.9
Indopacetus_pacificus,2198245.15
Stenella_frontalis,109946.4
Phocoena_dioptrica,64971.87
Cephalorhynchus_hectori,49979.72
Tasmacetus_shepherdi,2497972.75
Mesoplodon_grayi,2897603.79
Mesoplodon_stejnegeri,4795783.29
Hyperoodon_ampullatus,5794791.11
Neophocaena_phocaenoides,32488.27
Cephalorhynchus_heavisidii,39984.7
Pontoporia_blainvillei,40484.46
Stenella_longirostris,50479.47
Phocoena_phocoena,52478.44
Stenella_attenuata,57375.9
Sotalia_fluviatilis,59974.53
Phocoena_spinipinnis,59974.53
Stenella_clymene,67970.26
Cephalorhynchus_commersonii,72367.86
Delphinus_delphis,79963.66
Lipotes_vexillifer,83461.7
Phocoenoides_dalli,102450.81
Lagenorhynchus_cruciger,109946.4
Lissodelphis_borealis,112944.63
Platanista_gangetica,114943.44
Lagenorhynchus_australis,119940.45
Lagenorhynchus_obliquidens,119940.45
Lagenorhynchus_obscurus,127435.93
Inia_geoffrensis,129184.86
Steno_bredanensis,129934.41
Stenella_coeruleoalba,135830.81
Lagenodelphis_hosei,163913.3
Feresa_attenuata,169909.5
Tursiops_truncatus,174906.31
Lagenorhynchus_albirostris,179903.11
Lagenorhynchus_acutus,181901.82
Kogia_sima,182967.8
Peponocephala_electra,205886.23
Sousa_chinensis,279836.46
Grampus_griseus,387260.63
Kogia_breviceps,431228.64
Globicephala_macrorhynchus,725504.29
Globicephala_melas,799445.72
Monodon_monoceros,899365.45
Pseudorca_crassidens,1358982.96
Delphinapterus_leucas,1358982.96
Mesoplodon_mirus,2098335.04
Mesoplodon_densirostris,2298154.8
Orcinus_orca,4296271.54
Ziphius_cavirostris,4770807.84
Mesoplodon_europaeus,5594991.09
Himalayacetus_subathuensis,22500
Saghacetus_osiris,349787.48
Rodhocetus_kasranii,589609.83
Dalanistes_ahmedi,749485.38
Dorudon_atrox,1139168.32
Basilosaurus_cetoides,5834751.03
Basilosaurus_isis,6474106
Balaenoptera_acutorostrata,9550919.43
Neophocaena_asiaeorientalis,34000
Argyrocetus_patagonicus,72000
Ambulocetus_natans,430000
Kentriodon_pernix,17594.77
Simocetus_rayi,64240.27
Xenorophus_sloanii,96794.09
Squalodon_calvertensis,154519.22
Squaloziphius_emlongi,164113.18
Orycterocetus_crocodilinus,422235.22
Zygorhiza_kochii,2038388.74
Eubalaena_glacialis,47682706.92
Balaenoptera_musculus,88482427.74
Balaenoptera_borealis,22976061.94
Balaenoptera_physalus,32964420.17
Pakicetus_attocki,16395.24
Pakicetus_inachus,17994.61
Physeter_macrocephalus,36660026.97
Berardius_bairdii,7992548.82
Eschrichtius_robustus,17981722.88
Megaptera_novaeangliae,29967950.84
Balaenoptera_edeni,24973764.47
Eubalaena_australis,49178377.59
Berardius_arnuxii,8991507.62